,"总股本
[单位] 亿股",
时间,基本面50,上证50
2012-1-5,21579.8524,14931.7092
2012-1-6,21580.4896,14932.3463
2012-1-9,21580.4896,14932.3463
2012-1-10,21580.4896,14932.3463
2012-1-11,21580.4896,14932.3463
2012-1-12,21580.4896,14932.3463
2012-1-13,21580.4896,14932.3463
2012-1-16,21580.4896,14932.3463
2012-1-17,21580.4896,14932.3463
2012-1-18,21580.4896,14932.3463
2012-1-19,21580.4896,14932.3463
2012-1-20,21580.4896,14932.3463
2012-1-30,21580.4896,14932.3463
2012-1-31,21580.4896,14932.3463
2012-2-1,21580.4896,14932.3463
2012-2-2,21580.4896,14932.3463
2012-2-3,21580.4896,14932.3463
2012-2-6,21580.4896,14932.3463
2012-2-7,21580.4896,14932.3463
2012-2-8,21580.4896,14932.3463
2012-2-9,21580.4896,14932.3463
2012-2-10,21580.4896,14932.3463
2012-2-13,21580.4896,14932.3463
2012-2-14,21580.4896,14932.3463
2012-2-15,21580.4896,14932.3463
2012-2-16,21580.4896,14932.3463
2012-2-17,21580.4896,14932.3463
2012-2-20,21580.4896,14932.3463
2012-2-21,21580.4896,14932.3463
2012-2-22,21580.4896,14932.3463
2012-2-23,21580.4896,14932.3463
2012-2-24,21580.4896,14932.3463
2012-2-27,21580.4896,14932.3463
2012-2-28,21580.4896,14932.3463
2012-2-29,21580.4896,14932.3463
2012-3-1,21580.4896,14932.3463
2012-3-2,21580.4896,14932.3463
2012-3-5,21580.4896,14932.3463
2012-3-6,21580.4896,14932.3463
2012-3-7,21580.4896,14932.3463
2012-3-8,21580.4896,14932.3463
2012-3-9,21580.4896,14932.3463
2012-3-12,21580.4896,14932.3463
2012-3-13,21580.4896,14952.5469
2012-3-14,21580.4896,14952.5469
2012-3-15,21580.4896,14952.5469
2012-3-16,21580.4896,14952.5469
2012-3-19,21580.4896,14972.1769
2012-3-20,21580.4896,14972.1769
2012-3-21,21580.4896,14972.1769
2012-3-22,21580.4896,14972.1769
2012-3-23,21580.4896,14972.1769
2012-3-26,21580.4896,14972.1769
2012-3-27,21580.4896,14972.1769
2012-3-28,21591.5486,14983.2359
2012-3-29,21591.5486,14983.2359
2012-3-30,21591.5486,14983.2359
2012-4-5,21608.0571,14999.7444
2012-4-6,21611.5358,15003.223
2012-4-9,21611.5358,15003.223
2012-4-10,21611.5358,15003.223
2012-4-11,21611.5381,15003.223
2012-4-12,21611.5381,15003.223
2012-4-13,21611.5381,15003.223
2012-4-16,21611.5381,15003.223
2012-4-17,21611.5381,15003.223
2012-4-18,21611.5381,15003.223
2012-4-19,21611.5381,15003.223
2012-4-20,21611.5381,15003.223
2012-4-23,21611.5381,15003.223
2012-4-24,21611.5381,15003.223
2012-4-25,21611.5381,15003.223
2012-4-26,21611.5381,15003.223
2012-4-27,21623.8321,15015.517
2012-5-2,21623.8321,15015.517
2012-5-3,21623.8321,15015.517
2012-5-4,21623.8321,15027.6272
2012-5-7,21623.8321,15027.6272
2012-5-8,21623.8321,15027.6272
2012-5-9,21623.8321,15027.6272
2012-5-10,21623.8321,15027.6272
2012-5-11,21623.8321,15027.6272
2012-5-14,21623.8321,15027.6272
2012-5-15,21623.8321,15027.6272
2012-5-16,21623.8321,15027.6272
2012-5-17,21623.8321,15027.6272
